% gravity , f/t measurements all expressed in F/T sensor frame
% [gx, gy, gz, fx, fy, fz, tx, ty, tz]
12.2007 -6.41926 -7.11343 -74.4675 -18.4102 56.2923 -6.58521 -4.02974 -0.00728914
24.8236 -0.94385 -5.55296 -76.2128 -6.48694 20.8746 -1.1415 5.82246 -0.00195062
3.77981 -1.24462 14.3488 -70.596 3.62279 8.38056 0.227709 5.17391 0.00145139
-3.15518 0.415846 12.4593 -61.7858 2.78364 7.95676 -0.10889 5.25653 0.00200226
16.7142 0.754516 -2.43188 -61.1536 2.17281 7.65252 -0.131817 5.0744 0.00024723
12.9221 -1.3903 -2.53706 -56.6515 -17.1328 45.3432 -6.30528 -5.24208 -0.00572827
-5.56312 -6.90426 -0.981819 -56.8733 -24.295 57.3102 -9.10813 -9.96021 -0.0029018
16.4122 -0.881471 -3.26237 -78.0781 -24.7567 31.4423 -3.01097 5.82328 -0.000442012
23.4661 -0.197036 -3.5909 -65.286 -4.12241 9.31925 -0.626115 4.89402 0.000654295
